group,country,year,value,type,perc,unit
Anti-Western axis,China,1990-01-01,360.9,Gross Domestic Product,1.6,"current $, billion"
Anti-Western axis,China,1991-01-01,383.4,Gross Domestic Product,1.6,"current $, billion"
Anti-Western axis,China,1992-01-01,426.9,Gross Domestic Product,1.7,"current $, billion"
Anti-Western axis,China,1993-01-01,444.7,Gross Domestic Product,1.7,"current $, billion"
Anti-Western axis,China,1994-01-01,564.3,Gross Domestic Product,2,"current $, billion"
Anti-Western axis,China,1995-01-01,734.5,Gross Domestic Product,2.4,"current $, billion"
Anti-Western axis,China,1996-01-01,863.7,Gross Domestic Product,2.7,"current $, billion"
Anti-Western axis,China,1997-01-01,961.6,Gross Domestic Product,3,"current $, billion"
Anti-Western axis,China,1998-01-01,1029.1,Gross Domestic Product,3.2,"current $, billion"
Anti-Western axis,China,1999-01-01,1094,Gross Domestic Product,3.3,"current $, billion"
Anti-Western axis,China,2000-01-01,1211.3,Gross Domestic Product,3.6,"current $, billion"
Anti-Western axis,China,2001-01-01,1339.4,Gross Domestic Product,4,"current $, billion"
Anti-Western axis,China,2002-01-01,1470.6,Gross Domestic Product,4.2,"current $, billion"
Anti-Western axis,China,2003-01-01,1660.3,Gross Domestic Product,4.2,"current $, billion"
Anti-Western axis,China,2004-01-01,1955.3,Gross Domestic Product,4.4,"current $, billion"
Anti-Western axis,China,2005-01-01,2286,Gross Domestic Product,4.8,"current $, billion"
Anti-Western axis,China,2006-01-01,2752.1,Gross Domestic Product,5.3,"current $, billion"
Anti-Western axis,China,2007-01-01,3550.3,Gross Domestic Product,6.1,"current $, billion"
Anti-Western axis,China,2008-01-01,4594.3,Gross Domestic Product,7.2,"current $, billion"
Anti-Western axis,China,2009-01-01,5101.7,Gross Domestic Product,8.4,"current $, billion"
Anti-Western axis,China,2010-01-01,6087.2,Gross Domestic Product,9.2,"current $, billion"
Anti-Western axis,China,2011-01-01,7551.5,Gross Domestic Product,10.2,"current $, billion"
Anti-Western axis,China,2012-01-01,8532.2,Gross Domestic Product,11.3,"current $, billion"
Anti-Western axis,China,2013-01-01,9570.5,Gross Domestic Product,12.3,"current $, billion"
Anti-Western axis,China,2014-01-01,10475.6,Gross Domestic Product,13.1,"current $, billion"
Anti-Western axis,China,2015-01-01,11061.6,Gross Domestic Product,14.7,"current $, billion"
Anti-Western axis,China,2016-01-01,11233.3,Gross Domestic Product,14.7,"current $, billion"
Anti-Western axis,China,2017-01-01,12310.5,Gross Domestic Product,15.1,"current $, billion"
Anti-Western axis,China,2018-01-01,13894.9,Gross Domestic Product,16,"current $, billion"
Anti-Western axis,China,2019-01-01,14280,Gross Domestic Product,16.2,"current $, billion"
Anti-Western axis,China,2020-01-01,14687.7,Gross Domestic Product,17.2,"current $, billion"
Anti-Western axis,China,2021-01-01,17820.5,Gross Domestic Product,18.3,"current $, billion"
Anti-Western axis,China,2022-01-01,17881.8,Gross Domestic Product,17.7,"current $, billion"
Anti-Western axis,China,2023-01-01,17794.8,Gross Domestic Product,16.9,"current $, billion"
Anti-Western axis,Iran,1990-01-01,124.8,Gross Domestic Product,0.5,"current $, billion"
Anti-Western axis,Iran,1993-01-01,63.7,Gross Domestic Product,0.2,"current $, billion"
Anti-Western axis,Iran,1994-01-01,71.8,Gross Domestic Product,0.3,"current $, billion"
Anti-Western axis,Iran,1995-01-01,96.4,Gross Domestic Product,0.3,"current $, billion"
Anti-Western axis,Iran,1996-01-01,120.4,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,1997-01-01,113.9,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,1998-01-01,110.3,Gross Domestic Product,0.3,"current $, billion"
Anti-Western axis,Iran,1999-01-01,113.8,Gross Domestic Product,0.3,"current $, billion"
Anti-Western axis,Iran,2000-01-01,109.6,Gross Domestic Product,0.3,"current $, billion"
Anti-Western axis,Iran,2001-01-01,126.9,Gross Domestic Product,0.4,"current $, billion"
Anti-Western axis,Iran,2002-01-01,128.6,Gross Domestic Product,0.4,"current $, billion"
